station_id,station_name,station_code,latitude,longitude,timezone,city_id
134,Luxembourg,StopPoint:OCECar à réservation-82001000,49.599722,6.134722,Europe/Paris,5330
135,Luxembourg,StopPoint:OCETGV INOUI-82001000,49.599722,6.134722,Europe/Paris,5330
136,Luxembourg,StopPoint:OCETrain TER-82001000,49.599722,6.134722,Europe/Paris,5330
137,Howald,StopArea:OCE82002501,49.58032,6.13232,Europe/Paris,4473
138,Howald,StopPoint:OCECar TER-82002501,49.58032,6.13232,Europe/Paris,4473
139,Howald,StopPoint:OCETrain TER-82002501,49.58032,6.13232,Europe/Paris,4473
140,Bettembourg,StopArea:OCE82006030,49.516111,6.101111,Europe/Paris,3039
141,Bettembourg,StopPoint:OCETrain TER-82006030,49.516111,6.101111,Europe/Paris,3039
142,Luxembourg secteur Hollerich,StopArea:OCE82007104,49.59586,6.11878,Europe/Paris,5332
143,Luxembourg secteur Hollerich,StopPoint:OCETrain TER-82007104,49.59586,6.11878,Europe/Paris,5332
144,Dippach secteur Reckange,StopArea:OCE82007146,49.57252,5.99512,Europe/Paris,3888
145,Dippach secteur Reckange,StopPoint:OCETrain TER-82007146,49.57252,5.99512,Europe/Paris,3888
146,Bascharage secteur Sanem,StopArea:OCE82007187,49.5585,5.9249,Europe/Paris,2925
147,Bascharage secteur Sanem,StopPoint:OCETrain TER-82007187,49.5585,5.9249,Europe/Paris,2925
148,Petange,StopArea:OCE82009300,49.55419,5.8786,Europe/Paris,6120
149,Petange,StopPoint:OCETrain TER-82009300,49.55419,5.8786,Europe/Paris,6120
150,Rodange,StopArea:OCE82009407,49.550911,5.843642,Europe/Paris,6441
151,Rodange,StopPoint:OCECar TER-82009407,49.550911,5.843642,Europe/Paris,6441
152,Rodange,StopPoint:OCETrain TER-82009407,49.550911,5.843642,Europe/Paris,6441
153,Bettembourg Gare,StopArea:OCE82260018,49.516389,6.102222,Europe/Paris,3040
154,Bettembourg Gare,StopPoint:OCECar TER-82260018,49.516389,6.102222,Europe/Paris,3040
155,Luxembourg Gare,StopArea:OCE82916015,49.598611,6.133056,Europe/Paris,5331
156,Luxembourg Gare,StopPoint:OCECar TER-82916015,49.598611,6.133056,Europe/Paris,5331
157,Turin Porta Susa,StopArea:OCE83000356,45.074118,7.666675,Europe/Paris,7434
158,Turin Porta Susa,StopPoint:OCETGV INOUI-83000356,45.074118,7.666675,Europe/Paris,7434
159,OULX CESANA CLAVIERE SESTRIERE,StopArea:OCE83002048,45.038795,6.831431,Europe/Paris,5987
160,OULX CESANA CLAVIERE SESTRIERE,StopPoint:OCETGV INOUI-83002048,45.038795,6.831431,Europe/Paris,5987
161,TORINO PORTA NUOVA,StopArea:OCE83002196,45.06097,7.67747,Europe/Paris,7273
162,TORINO PORTA NUOVA,StopPoint:OCETGV INOUI-83002196,45.06097,7.67747,Europe/Paris,7273
163,TORINO LINGOTTO,StopArea:OCE83004523,45.026604,7.65747,Europe/Paris,7272
164,TORINO LINGOTTO,StopPoint:OCETGV INOUI-83004523,45.026604,7.65747,Europe/Paris,7272
165,MILANO PORTA GARIBALDI,StopArea:OCE83016451,45.484916,9.187694,Europe/Paris,5362
166,MILANO PORTA GARIBALDI,StopPoint:OCETGV INOUI-83016451,45.484916,9.187694,Europe/Paris,5362
167,VENTIMIGLIA,StopArea:OCE83045013,43.792569,7.610233,Europe/Paris,7455
168,VENTIMIGLIA,StopPoint:OCECar TER-83045013,43.792569,7.610233,Europe/Paris,7455
169,VENTIMIGLIA,StopPoint:OCETrain TER-83045013,43.792569,7.610233,Europe/Paris,7455
170,Basel SBB,StopArea:OCE85000109,47.5474,7.58956,Europe/Paris,2927
171,Basel SBB,StopPoint:OCECar TER-85000109,47.5474,7.58956,Europe/Paris,2927
172,Basel SBB,StopPoint:OCELyria-85000109,47.5474,7.58956,Europe/Paris,2927
