Nom_Gare;Trigramme;Segment(s) DRG;Position géographique;Code commune;Code_UIC;Id_Gare
Appilly;APP;C;49.5808826, 3.1221903;60021;87296459;c831c24f-8167-4525-8b0f-547b0d867a29
Arbanats;ABH;C;44.6743555, -0.3954517;33007;87582726;3e2f5b97-abde-44c5-b8cc-bbb405007c15
Arbois;AOI;C;46.912509, 5.7648273;39013;87718155;54845aad-b886-4abc-b707-85a9d40e1556
Arc-et-Senans;ACA;C;47.0303516, 5.7767843;25021;87718841;8e19545f-263a-4cc2-ae9f-96121f8cd03a
Arcachon;ARC;B;44.659009, -1.16523;33009;87582668;59845363-41d7-4a59-b1d5-ba734779148e
Arches;ARH;C;48.1198133, 6.5283085;88011;87144410;b0678125-fab3-4972-9240-3a090d0f6200
Arcy-sur-Cure;ACU;C;47.6008461, 3.7668885;89015;87683680;98ce79b0-1246-4be9-b500-30dae38b52b8
Arenc Euroméditerranée;AEM;C;43.3132339, 5.3676221;13202;87580340;76a0b43c-b7df-4c96-982d-33ccaeeab554
Arengosse;ARO;C;44.0069764, -0.8093835;40006;87671479;61197681-6df9-4ecb-a066-b4c031cca1da
Argelès-sur-Mer;AMR;B;42.54397, 3.022349;66008;87784231;9a5a45f4-324c-4ad7-b98b-1e2fb09d204e
Argentan;ARG;B;48.738545, -0.025291;61006;87444539;c4d0601a-35f0-4e8d-9272-14e62054cd6a
Argenteuil;ARW;B;48.94686, 2.25727;95018;87381848;be6f1fe7-371d-4ccd-bb43-8cdd39cf0804
Argentière;AGI;C;45.9819438, 6.9264844;74056;87746859;c6cc6394-4dae-4613-b033-9d0b907307ee
Argenton-sur-Creuse;AGC;B;46.592248, 1.518305;36006;87597120;ff5b52f9-f571-4c61-ac9f-d816135437f5
Arles;ARS;B;43.684853, 4.63203;13004;87753657;fbf8a217-00c2-46ae-8783-b190c2465d98
Arleux;ARX;C;50.2863204, 3.1208073;59015;87345421;f28fd8be-c87a-4d0a-895a-06a5241ed38e
Armentières;ARM;B;50.68084, 2.87763;59017;87286146;a2efa24c-5c5a-4a82-88d5-34d4a1a2b5bd
Arnage;AAG;C;47.9285663, 0.1898826;72008;87396549;4db7873e-f0dc-4562-9a3b-f2095a8acab3
Arnèke;ARN;B;50.831522, 2.4083063;59018;87281121;8cebb97c-8d8a-4bd5-ab31-ac9c878f7d4c
Arpajon;ARP;B;48.58617, 2.24112;91021;87545467;5d8b193d-e109-45a1-8b80-2d2e3de0e4b9
Arras;ARR;A;50.286673, 2.781942;62041;87342014;8c1b4934-c835-49f5-bfaa-1ec55cbdbd7c
Arrou;AOU;C;48.0997945, 1.1285567;28012;87394486;d9cdaca1-6556-40e0-9463-53c04e9e9341
Ars-sur-Moselle;ASM;B;49.0744745, 6.0776461;57032;87192401;0daf7706-e296-496a-9adf-97a649119d1e
Artenay;ATY;C;48.0808761, 1.8833705;45008;87543058;2c85b369-836b-47cf-8155-03121cde1987
Artix;ATI;C;43.3931062, -0.5701881;64061;87672212;72d82648-7578-48f3-9b91-e2e0f8ff6fda
Arvant;ARV;C;45.3653797, 3.3106747;43038;87734251;7add77ad-9240-4fc4-bd1a-6ada7baa3d04
Ascq;ASC;C;50.6218591, 3.1598992;59009;87286864;219ef7e7-0872-4716-9d8f-15600e709386
Asnières-sur-Seine;AEE;B;48.9058, 2.28324;92004;87381137;b9f83c6f-88e3-4fbc-ad61-1b9ccea861b9
Aspres-sur-Buëch;ASH;C;44.519428, 5.7545655;05010;87763250;214918bf-adda-47f2-9e18-dca0bd738cd3
Assat;ATK;C;43.2543993, -0.2950176;64067;87672162;ce83e54e-3942-4bdc-b1d5-c8c55b7f448b
Assier;AER;C;44.6746197, 1.8697681;46009;87613075;9ec1c71a-99e5-4a54-9344-6fd3f45cab50
Athis-Mons;ATH;B;48.712557, 2.403749;91027;87545251;4afa1ca8-84ee-44bb-a3c7-7bd337292874
Aubagne;AUB;B;43.296045, 5.56658;13005;87751750;8ffc51b5-4097-4d81-a0db-a3af1678e010
Aubazines - Saint-Hilaire;ABA;C;45.1816781, 1.6412346;19211;87594465;735e0444-44a0-4344-881f-a168f3e302be
Aubergenville Élisabethville;AEH;B;48.971825, 1.8484987;78029;87386730;29ab1243-1e7b-4994-a15a-f516ee5062e7
Aubiat;AUK;C;45.983812, 3.1605115;63013;87734111;926a074f-daba-44eb-9291-425e01919e13
Aubie - Saint-Antoine;ATX;C;45.0151419, -0.4198843;33018;87491233;c9a26060-c0bb-4c9f-82b9-6e3f67a65ee9
Aubiet;AIT;C;43.6502068, 0.7891179;32012;87611764;8810e99f-0666-431c-a791-5f7b208eaf41
Aubigné-Racan;ABG;C;47.686945, 0.2657714;72013;87396572;2bbf8a81-b2d0-4948-b2e8-802027c103ff
Aubigny-au-Bac;AAB;C;50.2685315, 3.158706;59026;87345447;312eda74-6551-44d7-9b77-3aee1119faf9
Aubigny-en-Artois;ABI;C;50.35297, 2.5928045;62045;87342246;257b7e78-5a46-4892-a714-0040d812db74
Aubin;AVB;C;44.5272762, 2.2393128;12013;87613224;cc5b2c2f-e3d2-472f-806e-9ec9b00aa60d
Aubin-Saint-Vaast;AUV;C;50.3946137, 1.9705382;62046;87316604;d9a79dcf-5188-414b-9020-0f33e75b3364
Auboué;ABE;C;49.216163, 5.9714608;54028;87191684;f5581eb2-a7cc-4eb7-ba9f-a562fda530af
Aubrives;ARI;C;50.1044507, 4.7616512;08028;87172122;d0a13d73-442c-40ff-b24b-3523951f75ff
Auch;AUH;B;43.647488, 0.596661;32013;87611749;3f5cc241-0c31-4f80-b6eb-c893e48d870c
Auchy-lès-Hesdin;AHH;C;50.3963631, 2.1022448;62050;87317230;8ad72b0c-5233-4364-b2ab-ad0f1f70aad7
Audrieu;ADR;C;49.2161315, -0.5960138;14026;87444059;bd28653a-ac96-429d-b0a7-af431bf727ac
Audruicq;ADQ;B;50.87567, 2.07636;62057;87281428;3114dc8e-4c6a-4fd0-8ae9-0bbdfd28c543
Audun-le-Roman;ALR;C;49.36682, 5.89139;54029;87194357;2b41dfdd-8e21-4a0f-a01e-01e8564e5efa
Auffay;AUF;B;49.716044, 1.098441;76034;87415158;ac2d1aae-7167-4283-bdf0-aa8670597634
Aulnat Aéroport;AUL;C;45.7920571, 3.1614332;63019;87562421;28248836-2dc7-41d4-8aa9-bc1b1e324370
Aulnay-sous-Bois;ABM;B;48.93179, 2.49431;93005;87271411;6fc317ff-4a94-4407-b9bb-dd4f6bec000e
Aulnoye-Aymeries;AYE;B;50.19749, 3.84337;59033;87295600;f2e55eef-2894-4939-96de-0749b53618cb
Aumale;AUM;C;49.7650371, 1.7560425;76035;87313767;c6fc1e54-cfbe-4e5f-af95-8c0f5c860cab
Aumont-Aubrac;AAU;C;44.7181699, 3.2835489;48009;87783266;9b904c73-26fd-465f-ab3a-1a8fb650ccba
Auneau;AUN;C;48.4458242, 1.77998;28317;87545657;de4243d7-8757-47de-99e4-05df4aef9e36
Auray;ARY;A;47.68022, -2.999995;56007;87476200;e2bd6be2-549f-4e99-bcc8-1688dd2d8b3f
Aurec-sur-Loire;AEC;C;45.3711611, 4.1983439;43012;87726760;59eb84f9-a732-46c5-a1ed-5d764b2d62b7
Aurillac;AUC;B;44.921092, 2.435655;15014;87645002;a6877ea0-80a1-4c07-9569-c7382d23876f
Auterive;AIE;B;43.348993, 1.468831;31033;87611384;96bd3a75-e236-4e20-8e3c-42b16172600a
Auvers-sur-Oise;AUW;C;49.07062, 2.17526;95039;87276543;d6972e86-5d15-4af0-8cce-507a5b794669
Auxerre Saint-Gervais;AUX;B;47.797645, 3.58514;89024;87683573;7d783840-d5ef-4b03-8ecb-50d1dd368e57
Auxonne;AXO;B;47.192663, 5.37737;21639;87713347;20564a3a-4acb-418b-9dd2-423a6c1d70fc
Avallon;AVA;C;47.4957553, 3.9124463;89025;87683789;c45c1830-78a1-4104-a64c-bc5a2e085987
Avenay;AAY;C;49.0647826, 4.043689;51028;87171579;6362398c-94e1-4531-9e31-deeb417984a4
Avenue du Président Kennedy Maison de Radio France;APK;B;48.853322, 2.279969;75116;87543207;257c109b-eca1-445d-a301-a4f0260a0135
Avenue Foch;AVF;B;48.870971, 2.2756167;75116;87381038;cad23d17-ec93-4aad-9a4a-27be1df38e06
Avenue Henri Martin;AHM;B;48.8644077, 2.272238;75116;87381046;5bb79be5-eeb0-4cbd-8170-5e901d515bab
