route_id,departure_station_id,arrival_station_id,departure_station_name,arrival_station_name,departure_city_name,arrival_city_name,departure_country_name,arrival_country_name,departure_country_code,arrival_country_code,operator_name,is_international,distance_km,trip_count,weekly_frequency,daily_frequency_avg,avg_duration_minutes,min_duration_minutes,max_duration_minutes,main_train_type,has_night_train,has_day_train,avg_num_stops,min_num_stops,max_num_stops,avg_quality_score,min_quality_score,quality_issues_count,co2_train_kg,co2_plane_kg,co2_saving_kg,co2_saving_percent,substitution_score,substitution_potential
3626,5901,8043,Auch Allée Baylac,Beaumont-de-Lomagne Place Jean Moulin,Auch Allée Baylac,Beaumont-de-Lomagne Place Jean Moulin,France,France,FR,FR,SNCF VOYAGEURS,0,41.42,1,1.0,0.14,60.0,60.0,60.0,day,0,1,6.0,6,6,100.0,100,0,0.58,9.53,8.95,93.91,45,moyen
3627,8043,5901,Beaumont-de-Lomagne Place Jean Moulin,Auch Allée Baylac,Beaumont-de-Lomagne Place Jean Moulin,Auch Allée Baylac,France,France,FR,FR,SNCF VOYAGEURS,0,41.42,1,1.0,0.14,60.0,60.0,60.0,day,0,1,6.0,6,6,100.0,100,0,0.58,9.53,8.95,93.91,45,moyen
3628,5262,8027,Auch,Montauban la Fobio,Auch,Montauban la Fobio,France,France,FR,FR,SNCF VOYAGEURS,0,74.23,1,1.0,0.14,114.0,114.0,114.0,day,0,1,14.0,14,14,100.0,100,0,1.04,17.07,16.03,93.91,45,moyen
3629,3151,5262,Montauban Prax Paris,Auch,Montauban Prax Paris,Auch,France,France,FR,FR,SNCF VOYAGEURS,0,73.65,1,1.0,0.14,125.0,125.0,125.0,day,0,1,14.0,14,14,100.0,100,0,1.03,16.94,15.91,93.91,45,moyen
3630,6324,5124,Bagnères-de-Luchon Lycée,Montréjeau - Gourdan-Polignan,Bagnères-de-Luchon Lycée,Montréjeau - Gourdan-Polignan,France,France,FR,FR,SNCF VOYAGEURS,0,31.93,6,6.0,0.86,61.0,61.0,61.0,day,0,1,25.0,25,25,100.0,100,0,0.45,7.34,6.9,93.91,50,moyen
3631,5124,6324,Montréjeau - Gourdan-Polignan,Bagnères-de-Luchon Lycée,Montréjeau - Gourdan-Polignan,Bagnères-de-Luchon Lycée,France,France,FR,FR,SNCF VOYAGEURS,0,31.93,3,3.0,0.43,60.0,60.0,60.0,day,0,1,25.0,25,25,100.0,100,0,0.45,7.34,6.9,93.91,50,moyen
3632,6209,16,Paris Gare de Lyon Hall 1 - 2,Francfort sur le Main,Paris Gare de Lyon Hall 1 - 2,Francfort sur le Main,France,France,FR,FR,SNCF VOYAGEURS,0,475.39,1,1.0,0.14,257.0,257.0,257.0,day,0,1,3.0,3,3,100.0,100,0,6.66,109.34,102.68,93.91,75,fort
3633,16,6209,Francfort sur le Main,Paris Gare de Lyon Hall 1 - 2,Francfort sur le Main,Paris Gare de Lyon Hall 1 - 2,France,France,FR,FR,SNCF VOYAGEURS,0,475.39,2,2.0,0.29,268.5,252.0,285.0,day,0,1,4.0,3,5,100.0,100,0,6.66,109.34,102.68,93.91,75,fort
3634,112,325,Stuttgart Hbf,Paris Est,Stuttgart Hbf,Paris Est,France,France,FR,FR,SNCF VOYAGEURS,0,499.53,37,1.6,0.23,204.22,193.0,219.0,day,0,1,2.46,2,3,100.0,100,0,6.99,114.89,107.9,93.91,75,fort
3635,22,325,Karlsruhe Hbf,Paris Est,Karlsruhe Hbf,Paris Est,France,France,FR,FR,SNCF VOYAGEURS,0,441.52,4,0.56,0.08,165.25,154.0,188.0,day,0,1,1.0,1,1,100.0,100,0,6.18,101.55,95.37,93.91,75,fort
